Date,Temperature moyenne (°C),Precipitation (mm),Humidite moyenne (%)
2016-09-16,19.818834,0.0,66.96291
2016-09-17,22.206331,0.0,65.88789
2016-09-18,22.74175,0.0,66.88125
2016-09-19,20.73133,0.0,79.80877
2016-09-20,21.36675,0.0,76.664955
2016-09-21,20.306334,0.0,79.755424
2016-09-22,19.66258,0.0,72.78402
2016-09-23,19.575083,0.0,73.59061
2016-09-24,19.856333,0.0,79.033775
2016-09-25,21.6605,0.2,80.88019
2016-09-26,21.739664,0.0,80.768845
2016-09-27,23.75425,0.0,67.11036
2016-09-28,26.777166,0.0,37.794994
2016-09-29,25.3355,0.0,42.007824
2016-09-30,23.312582,0.0,59.46742
2016-10-01,21.700083,0.0,72.110634
2016-10-02,20.660501,0.0,75.15319
2016-10-03,21.487581,0.0,70.85873
2016-10-04,22.823,0.0,68.20649
2016-10-05,22.370916,0.0,71.06991
2016-10-06,22.535494,0.0,70.55848
2016-10-07,22.160498,0.0,74.3025
2016-10-08,21.035498,0.0,77.10474
2016-10-09,19.454252,0.0,79.49128
2016-10-10,18.633413,0.0,76.28698
2016-10-11,17.706333,0.0,72.96806
2016-10-12,18.027166,3.8999996,77.87505
2016-10-13,16.516748,14.1,91.499695
2016-10-14,17.018833,0.0,85.83367
2016-10-15,17.925083,0.0,80.72541
2016-10-16,18.060497,0.0,80.71405
2016-10-17,20.625082,0.0,73.50417
2016-10-18,22.531334,0.0,63.75044
2016-10-19,22.072998,0.0,65.967705
2016-10-20,20.573,0.0,70.5226
2016-10-21,19.84175,0.0,81.53696
2016-10-22,20.418833,0.0,67.66717
2016-10-23,20.056334,0.0,70.009865
2016-10-24,19.7855,0.70000005,67.69459
2016-10-25,19.858416,1.0,73.63012
2016-10-26,21.197996,0.0,67.55442
2016-10-27,24.447998,0.0,42.266567
2016-10-28,24.027166,0.0,52.301647
2016-10-29,22.970915,0.0,58.97125
2016-10-30,21.595917,0.0,67.89912
2016-10-31,21.6605,0.2,62.30543
2016-11-01,22.30008,1.1,54.801632
2016-11-02,21.433416,0.0,59.257633
2016-11-03,22.114664,0.90000004,48.158634
2016-11-04,20.408417,0.1,53.17636
2016-11-05,19.275084,0.3,68.04084
2016-11-06,16.3355,10.4,83.04865
2016-11-07,14.316749,1.1,67.69892
2016-11-08,13.227164,0.90000004,70.32185
2016-11-09,13.258416,0.0,64.81452
2016-11-10,13.889667,0.0,79.98137
2016-11-11,14.935498,0.0,70.492
2016-11-12,14.381332,0.0,73.26313
2016-11-13,14.348,0.0,77.07308
2016-11-14,15.358417,0.0,73.04757
